stage: scanning
Token: CLASS | Valor: class | Línea: 2 | Columna: 2 | Tipo: reservada
Token: ID | Valor: EducationalProgram | Línea: 2 | Columna: 8 | Tipo: no reservada
Token: LBRACE | Valor: { | Línea: 2 | Columna: 27 | Tipo: reservada
Token: INT | Valor: int | Línea: 3 | Columna: 6 | Tipo: reservada
Token: ID | Valor: numbers | Línea: 3 | Columna: 10 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 3 | Columna: 17 | Tipo: reservada
Token: RBRACKET | Valor: ] | Línea: 3 | Columna: 18 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 3 | Columna: 19 | Tipo: reservada
Token: BOOLEAN | Valor: boolean | Línea: 4 | Columna: 6 | Tipo: reservada
Token: ID | Valor: flags | Línea: 4 | Columna: 14 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 4 | Columna: 19 | Tipo: reservada
Token: RBRACKET | Valor: ] | Línea: 4 | Columna: 20 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 4 | Columna: 21 | Tipo: reservada
Token: CHAR | Valor: char | Línea: 5 | Columna: 6 | Tipo: reservada
Token: ID | Valor: letters | Línea: 5 | Columna: 11 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 5 | Columna: 18 | Tipo: reservada
Token: RBRACKET | Valor: ] | Línea: 5 | Columna: 19 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 5 | Columna: 20 | Tipo: reservada
Token: INT | Valor: int | Línea: 6 | Columna: 6 | Tipo: reservada
Token: ID | Valor: size | Línea: 6 | Columna: 10 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 6 | Columna: 14 | Tipo: reservada
Token: VOID | Valor: void | Línea: 8 | Columna: 6 | Tipo: reservada
Token: ID | Valor: initialize | Línea: 8 | Columna: 11 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 8 | Columna: 21 | Tipo: reservada
Token: INT | Valor: int | Línea: 8 | Columna: 22 | Tipo: reservada
Token: ID | Valor: arraySize | Línea: 8 | Columna: 26 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 8 | Columna: 35 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 8 | Columna: 37 | Tipo: reservada
Token: ID | Valor: size | Línea: 9 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 9 | Columna: 15 | Tipo: reservada
Token: ID | Valor: arraySize | Línea: 9 | Columna: 17 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 9 | Columna: 26 | Tipo: reservada
Token: ID | Valor: numbers | Línea: 10 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 10 | Columna: 18 | Tipo: reservada
Token: NEW | Valor: new | Línea: 10 | Columna: 20 | Tipo: reservada
Token: INT | Valor: int | Línea: 10 | Columna: 24 | Tipo: reservada
Token: LBRACKET | Valor: [ | Línea: 10 | Columna: 27 | Tipo: reservada
Token: ID | Valor: size | Línea: 10 | Columna: 28 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 10 | Columna: 32 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 10 | Columna: 33 | Tipo: reservada
Token: ID | Valor: flags | Línea: 11 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 11 | Columna: 16 | Tipo: reservada
Token: NEW | Valor: new | Línea: 11 | Columna: 18 | Tipo: reservada
Token: BOOLEAN | Valor: boolean | Línea: 11 | Columna: 22 | Tipo: reservada
Token: LBRACKET | Valor: [ | Línea: 11 | Columna: 29 | Tipo: reservada
Token: ID | Valor: size | Línea: 11 | Columna: 30 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 11 | Columna: 34 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 11 | Columna: 35 | Tipo: reservada
Token: ID | Valor: letters | Línea: 12 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 12 | Columna: 18 | Tipo: reservada
Token: NEW | Valor: new | Línea: 12 | Columna: 20 | Tipo: reservada
Token: CHAR | Valor: char | Línea: 12 | Columna: 24 | Tipo: reservada
Token: LBRACKET | Valor: [ | Línea: 12 | Columna: 28 | Tipo: reservada
Token: ID | Valor: size | Línea: 12 | Columna: 29 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 12 | Columna: 33 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 12 | Columna: 34 | Tipo: reservada
Token: FOR | Valor: for | Línea: 13 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 13 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 13 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 13 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 13 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 13 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 13 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 13 | Columna: 26 | Tipo: no reservada
Token: LT | Valor: < | Línea: 13 | Columna: 28 | Tipo: reservada
Token: ID | Valor: size | Línea: 13 | Columna: 30 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 13 | Columna: 34 | Tipo: reservada
Token: ID | Valor: i | Línea: 13 | Columna: 36 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 13 | Columna: 38 | Tipo: reservada
Token: ID | Valor: i | Línea: 13 | Columna: 40 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 13 | Columna: 42 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 13 | Columna: 44 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 13 | Columna: 45 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 13 | Columna: 47 | Tipo: reservada
Token: ID | Valor: numbers | Línea: 14 | Columna: 14 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 14 | Columna: 21 | Tipo: reservada
Token: ID | Valor: i | Línea: 14 | Columna: 22 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 14 | Columna: 23 | Tipo: reservada
Token: ASSIGN | Valor: = | Línea: 14 | Columna: 25 | Tipo: reservada
Token: ID | Valor: i | Línea: 14 | Columna: 27 | Tipo: no reservada
Token: TIMES | Valor: * | Línea: 14 | Columna: 29 | Tipo: reservada
Token: INT_LITERAL | Valor: 2 | Línea: 14 | Columna: 31 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 14 | Columna: 32 | Tipo: reservada
Token: ID | Valor: flags | Línea: 15 | Columna: 14 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 15 | Columna: 19 | Tipo: reservada
Token: ID | Valor: i | Línea: 15 | Columna: 20 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 15 | Columna: 21 | Tipo: reservada
Token: ASSIGN | Valor: = | Línea: 15 | Columna: 23 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 15 | Columna: 25 | Tipo: reservada
Token: ID | Valor: i | Línea: 15 | Columna: 26 | Tipo: no reservada
Token: MOD | Valor: % | Línea: 15 | Columna: 28 | Tipo: reservada
Token: INT_LITERAL | Valor: 2 | Línea: 15 | Columna: 30 | Tipo: no reservada
Token: EQ | Valor: == | Línea: 15 | Columna: 32 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 15 | Columna: 35 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 15 | Columna: 36 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 15 | Columna: 37 | Tipo: reservada
Token: IF | Valor: if | Línea: 16 | Columna: 14 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 16 | Columna: 17 | Tipo: reservada
Token: ID | Valor: i | Línea: 16 | Columna: 18 | Tipo: no reservada
Token: MOD | Valor: % | Línea: 16 | Columna: 20 | Tipo: reservada
Token: INT_LITERAL | Valor: 2 | Línea: 16 | Columna: 22 | Tipo: no reservada
Token: EQ | Valor: == | Línea: 16 | Columna: 24 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 16 | Columna: 27 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 16 | Columna: 28 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 16 | Columna: 30 | Tipo: reservada
Token: ID | Valor: letters | Línea: 17 | Columna: 18 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 17 | Columna: 25 | Tipo: reservada
Token: ID | Valor: i | Línea: 17 | Columna: 26 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 17 | Columna: 27 | Tipo: reservada
Token: ASSIGN | Valor: = | Línea: 17 | Columna: 29 | Tipo: reservada
Token: CHAR_LITERAL | Valor: 'A' | Línea: 17 | Columna: 31 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 17 | Columna: 34 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 18 | Columna: 14 | Tipo: reservada
Token: ELSE | Valor: else | Línea: 18 | Columna: 16 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 18 | Columna: 21 | Tipo: reservada
Token: ID | Valor: letters | Línea: 19 | Columna: 18 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 19 | Columna: 25 | Tipo: reservada
Token: ID | Valor: i | Línea: 19 | Columna: 26 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 19 | Columna: 27 | Tipo: reservada
Token: ASSIGN | Valor: = | Línea: 19 | Columna: 29 | Tipo: reservada
Token: CHAR_LITERAL | Valor: 'B' | Línea: 19 | Columna: 31 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 19 | Columna: 34 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 20 | Columna: 14 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 21 | Columna: 10 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 22 | Columna: 6 | Tipo: reservada
Token: INT | Valor: int | Línea: 23 | Columna: 6 | Tipo: reservada
Token: ID | Valor: calculateSum | Línea: 23 | Columna: 10 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 23 | Columna: 22 | Tipo: reservada
Token: INT | Valor: int | Línea: 23 | Columna: 23 | Tipo: reservada
Token: ID | Valor: limit | Línea: 23 | Columna: 27 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 23 | Columna: 32 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 23 | Columna: 34 | Tipo: reservada
Token: INT | Valor: int | Línea: 24 | Columna: 10 | Tipo: reservada
Token: ID | Valor: sum | Línea: 24 | Columna: 14 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 24 | Columna: 17 | Tipo: reservada
Token: ID | Valor: sum | Línea: 25 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 25 | Columna: 14 | Tipo: reservada
